# molecule\atoms  H   Be  B   C   N   O   F   Al  Si  P   S   Cl  E(DMC)+TAE(au)  DMC_error(au)  TAE-TAE(DMC)(kcal/mol) TAE(DMC)_error(kcal/mol)
h                 1   0   0   0   0   0   0   0   0   0   0   0      -0.500008      0.000003           0.000000               0.002535
be                0   1   0   0   0   0   0   0   0   0   0   0     -14.657068      0.000159           0.000000               0.141671
b                 0   0   1   0   0   0   0   0   0   0   0   0     -24.639949      0.000271           0.000000               0.241093
c                 0   0   0   1   0   0   0   0   0   0   0   0     -37.829525      0.000372           0.000000               0.331384
n                 0   0   0   0   1   0   0   0   0   0   0   0     -54.576533      0.000376           0.000000               0.334787
o                 0   0   0   0   0   1   0   0   0   0   0   0     -75.052173      0.000577           0.000000               0.514090
f                 0   0   0   0   0   0   1   0   0   0   0   0     -99.716520      0.000636           0.000000               0.566976
al                0   0   0   0   0   0   0   1   0   0   0   0    -242.322939      0.000906           0.000000               0.807319
si                0   0   0   0   0   0   0   0   1   0   0   0    -289.329231      0.001056           0.000000               0.940675
p                 0   0   0   0   0   0   0   0   0   1   0   0    -341.222102      0.000983           0.000000               0.875773
s                 0   0   0   0   0   0   0   0   0   0   1   0    -398.065770      0.001056           0.000000               0.940625
cl                0   0   0   0   0   0   0   0   0   0   0   1    -460.096342      0.001086           0.000000               0.967634
b2                0   0   2   0   0   0   0   0   0   0   0   0     -49.270728      0.000477           5.777842               0.385079
bh3               3   0   1   0   0   0   0   0   0   0   0   0     -26.150579      0.000299          -6.681228               0.254252
nh2               2   0   0   0   1   0   0   0   0   0   0   0     -55.575297      0.000515           0.788636               0.401849
hof               1   0   0   0   0   1   1   0   0   0   0   0    -175.255121      0.001249           8.554686               0.955102
alh3              3   0   0   0   0   0   0   1   0   0   0   0    -243.831119      0.000997          -5.138038               0.848696
sih4              4   0   0   0   0   0   0   0   1   0   0   0    -291.335541      0.001071          -3.954883               0.947538
sif               0   0   0   0   0   0   1   0   1   0   0   0    -389.046602      0.001068          -0.536424               1.027445
bn3pi             0   0   1   0   1   0   0   0   0   0   0   0     -79.213545      0.000759           1.850523               0.560230
cf                0   0   0   1   0   0   1   0   0   0   0   0    -137.543879      0.000944           1.364345               0.754547
bef2              0   1   0   0   0   0   2   0   0   0   0   0    -214.104870      0.000920          -9.300404               0.817104
ch2c              2   0   0   2   0   0   0   0   0   0   0   0     -76.660039      0.000653          -0.612528               0.528336
ch2ch             3   0   0   2   0   0   0   0   0   0   0   0     -77.162034      0.000798          -1.864669               0.602009
c2h4              4   0   0   2   0   0   0   0   0   0   0   0     -77.669824      0.000594          -6.766960               0.499704
ch2nh             3   0   0   1   1   0   0   0   0   0   0   0     -93.906582      0.000979          -0.314509               0.700850
hco               1   0   0   1   0   1   0   0   0   0   0   0    -113.378005      0.001071           2.331487               0.801217
h2co              2   0   0   1   0   1   0   0   0   0   0   0    -113.879545      0.001028           1.366383               0.778524
co2               0   0   0   1   0   2   0   0   0   0   0   0    -187.931927      0.001134           1.224443               0.910610
hno               1   0   0   0   1   1   0   0   0   0   0   0    -130.111651      0.001013          10.749436               0.771821
no2               0   0   0   0   1   2   0   0   0   0   0   0    -204.643746      0.001157          23.393207               0.922944
n2o               0   0   0   0   2   1   0   0   0   0   0   0    -184.183511      0.000959          13.688672               0.780413
o3                0   0   0   0   0   3   0   0   0   0   0   0    -225.106522      0.001003          31.496994               0.891814
hoo               1   0   0   0   0   2   0   0   0   0   0   0    -150.585215      0.000931          12.056942               0.780137
hooh              2   0   0   0   0   2   0   0   0   0   0   0    -151.095921      0.000955           5.317470               0.791205
f2o               0   0   0   0   0   1   2   0   0   0   0   0    -274.459086      0.001084          16.459245               0.959024
hocl              1   0   0   0   0   1   0   0   0   0   0   1    -535.643659      0.001181           3.064422               1.074293
ssh               1   0   0   0   0   0   0   0   0   0   2   0    -796.623794      0.001421           4.885403               1.298419
